comment_id,post_id,sentiment,sentiment_score
c_158765989750723746,ae5XXZq,neutral,0
c_158765997962627624,a85rP0p,neutral,0
c_158766004642091999,aV0GGOP,positive,1
c_158766005804763945,aroP6B5,positive,1
c_158766009688126400,a0RmmjZ,positive,1
c_158766015098478728,aV0GGOP,positive,1
c_158766016418594937,aroP6B5,neutral,0
c_158766022697605628,ae5XXZq,positive,1
c_158766025882394675,a0RmAKX,positive,1
c_158766033059026427,a1R4z4D,positive,1
c_158766035070136641,a1R4z4D,negative,-1
c_158766035092056165,ao5BbNX,negative,-1
c_158766040667548380,ayoyg4V,neutral,0
c_158766042572918649,a2RQQ8d,negative,-1
c_158766043190136161,ayoyg4V,neutral,0
c_158766062065861430,aV0GGOP,negative,-1
c_158766062992929798,ae5XXZq,positive,1
c_158766064775309384,a85rP0p,neutral,0
c_158766069458495398,am5DjQj,negative,-1
c_158766069825671801,a85rP0p,negative,-1
c_158766072419665592,aV0GGOP,negative,-1
c_158766074057319093,aroP6B5,neutral,0
c_158766074074003419,a1R4z4D,neutral,0
c_158766078630104822,a85rP0p,neutral,0
c_158766087026836930,a1R4z4D,neutral,0
c_158766094259314927,a0RmmjZ,neutral,0
c_158766095926174145,ae5XXZq,negative,-1
c_158766097579233350,a85rP0p,neutral,0
c_158766117944098624,am5DjQj,neutral,0
c_158766120113754142,aroP6B5,negative,-1
c_158766120172701698,aroP6B5,positive,1
c_158766120970396821,a0RmmjZ,positive,1
c_158766122327237384,ae5XovO,neutral,0
c_158766126992863423,a0RmmjZ,neutral,0
c_158766136783405137,a1R4z4D,positive,1
c_158766146647442708,aroPPN5,positive,1
c_158766157676437876,aroPPN5,neutral,0
c_158766163276069833,aZ799X3,negative,-1
c_158766166036527839,ae5XXZq,positive,1
c_158766167147771345,aZ799X3,positive,1
c_158766169036895094,aZ799X3,neutral,0
c_158766169101048192,aroP6B5,negative,-1
c_158766173220351092,a2RQQ8d,neutral,0
c_158766174372764539,am5DjQj,neutral,0
c_158766176149375735,aZ799X3,neutral,0
c_158766182463797396,a1R4z4D,neutral,0
c_158766183539956853,ae5XovO,negative,-1
c_158766187269826360,a0RmmjZ,negative,-1
c_158766190510004428,aroPPN5,positive,1
c_158766209371818791,aroPPN5,negative,-1
c_158766209587751533,am5DjQj,negative,-1
c_158766227056534675,aroP6B5,negative,-1
c_158766227170298174,aroP6B5,negative,-1
c_158766227649668027,aZ799X3,negative,-1
c_158766229645088115,aV0GGOP,neutral,0
c_158766229973433951,a0RmAKX,negative,-1
c_158766231597124746,a1R4z4D,neutral,0
c_158766237242501544,ao5BrKX,neutral,0
c_158766241031163969,a1R4z4D,negative,-1
c_158766241836482809,a2RQQ8d,neutral,0
c_158766242836824155,a0RmmjZ,neutral,0
c_158766252103954981,a0RmmjZ,negative,-1
c_158766252885126976,a85rrZe,positive,1
c_158766254281018520,am5DjQj,positive,1
c_158766256565221919,aZ799X3,negative,-1
c_158766258531808638,ae5XovO,neutral,0
c_158766261670985007,ao5BrKX,negative,-1
c_158766265756845452,a85rrZe,neutral,0
c_158766275161779220,aZ799X3,neutral,0
c_158766277674997202,aroP6B5,negative,-1
c_158766283131123163,a85rrZe,neutral,0
c_158766288218279064,aZ799X3,neutral,0
c_158766290678853793,aZ799X3,neutral,0
c_158766295464306361,aroPPN5,neutral,0
c_158766301208244079,a1R4z4D,neutral,0
c_158766305913414091,aroP6B5,negative,-1
c_158766309553508177,ae5XovO,negative,-1
c_158766314333424953,a2RQQdD,negative,-1
c_158766315056706127,a1R4z4D,negative,-1
c_158766317385611067,a85rrZe,positive,1
c_158766325047895861,ae5XXZq,negative,-1
c_158766326979504165,ao5BrKX,negative,-1
c_158766341512541929,a0RmmjZ,neutral,0
c_158766341977069653,aroPPN5,positive,1
c_158766342406646540,aZ799X3,positive,1
c_158766349638809273,a2RQQ8d,positive,1
c_158766351472894170,a1R4z4D,neutral,0
c_158766354021376536,a1R4z4D,neutral,0
c_158766355533463770,aV0GGOP,negative,-1
c_158766361513059332,a1R4z4D,neutral,0
c_158766362845179939,aroP6B5,negative,-1
c_158766365885927154,am5DjQj,positive,1
c_158766367592688779,a1R4z4D,neutral,0
c_158766373048719731,ae5XovO,negative,-1
c_158766374971321647,amvqq0y,negative,-1
c_158766381408872364,a0RmmjZ,neutral,0
c_158766386553663811,ae5XovO,neutral,0
c_158766389226787895,ao5BrKX,neutral,0
c_158766392197257758,ae5XXZq,negative,-1
c_158766403411264148,a2RQQ8d,neutral,0
c_158766419317559811,am5DjQj,negative,-1
c_158766427477706441,aroPPN5,neutral,0
c_158766427798521403,aroP6B5,neutral,0
c_158766428113073315,agArryv,neutral,0
c_158766431315776380,a2RQQdD,neutral,0
c_158766431848161097,aroPPN5,positive,1
c_158766433395413610,a2RQQ8d,negative,-1
c_158766435303582425,aroPPN5,negative,-1
c_158766436359349256,agArryv,positive,1
c_158766436699819230,a2RQQdD,neutral,0
c_158766440911038811,a2RQQdD,neutral,0
c_158766441105957270,am5DjQj,neutral,0
c_158766441886694100,a2RQQ8d,neutral,0
c_158766442008748543,ayoyg4V,neutral,0
c_158766442562609389,a2RQQdD,neutral,0
c_158766450792741260,aroP6B5,positive,1
c_158766461193743303,aroPPN5,positive,1
c_158766478343805465,a2RQQ8d,negative,-1
c_158766481281565197,aroP6B5,positive,1
c_158766484131575431,a1R4z4D,neutral,0
c_158766487936073548,a2RQQdD,negative,-1
c_158766493638869827,a2RQQdD,positive,1
c_158766493766168265,ae5XovO,negative,-1
c_158766498761737750,a2RQQ8d,neutral,0
c_158766508439463664,aZ799X3,negative,-1
c_158766510540495968,agArryv,neutral,0
c_158766515878454053,a2RQQdD,neutral,0
c_158766516489034823,amvqq0y,neutral,0
c_158766526749489685,a1R4z4D,neutral,0
c_158766530556185733,a2RQQdD,neutral,0
c_158766531844382537,aroPPN5,neutral,0
c_158766536460584930,ae5XovO,negative,-1
c_158766542531836247,a2RQQdD,neutral,0
c_158766545018705956,a2RQQdD,neutral,0
c_158766547026049314,ae5XovO,neutral,0
c_158766547256124783,a2RQQdD,neutral,0
c_158766549452233981,ae5XovO,neutral,0
c_158766552153417638,am5DjQj,neutral,0
c_158766552452398280,amvqq0y,positive,1
c_158766552793205713,amvqq0y,positive,1
c_158766555549198656,amvqq0y,negative,-1
c_158766561116433503,ao5BrKX,neutral,0
c_158766562254412529,amvqq0y,positive,1
c_158766567534621068,aroPPN5,negative,-1
c_158766571217017996,amvqq0y,neutral,0
c_158766576703505289,amvqq0y,neutral,0
c_158766581850916079,aZ799X3,neutral,0
c_158766583675565460,aroPPN5,neutral,0
c_158766584130441845,a1R4z4D,negative,-1
c_158766584433227052,agArryv,negative,-1
c_158766588389308465,aroPPN5,positive,1
c_158766595631678414,aroPPN5,neutral,0
c_158766597104309256,aV0GGOP,neutral,0
c_158766599228424857,aroP6B5,negative,-1
c_158766602430982803,am5DjQj,positive,1
c_158766604224055310,aZ799X3,positive,1
c_158766605092962068,agArryv,neutral,0
c_158766608171431531,a2RQQdD,neutral,0
c_158766610662651921,am5DjQj,neutral,0
c_158766613082376693,agArryv,negative,-1
c_158766620057685748,ayoyg4V,neutral,0
c_158766624877182833,agArryv,neutral,0
c_158766633025199852,agArryv,positive,1
c_158766641755746971,amvqq0y,neutral,0
c_158766643423259459,aZ799X3,neutral,0
c_158766649762174668,a2RQQdD,neutral,0
c_158766651340403719,ao5BrKX,neutral,0
c_158766652566055849,a2RQQ8d,positive,1
c_158766654733955719,am5DjQj,neutral,0
c_158766664020081221,agArryv,negative,-1
c_158766670173639722,aZ799X3,positive,1
c_158766671690065606,a2RQQ8d,negative,-1
c_158766673507768314,amvqq0y,neutral,0
c_158766675317202764,amvqq0y,negative,-1
c_158766675432439768,ae5XXZq,positive,1
c_158766682747998369,aZ799X3,negative,-1
c_158766684108407394,aroP6B5,negative,-1
c_158766685056778947,agArryv,neutral,0
c_158766687124909563,aV0GGOP,negative,-1
c_158766689538272067,agArryv,positive,1
c_158766692659767964,ao5BbNX,negative,-1
c_158766693636356821,agArryv,negative,-1
c_158766696468558586,agArryv,neutral,0
c_158766709830614228,aZ799X3,negative,-1
c_158766710296225120,amvqq0y,neutral,0
c_158766710884322017,agArryv,positive,1
c_158766712462744538,a3wvvA3,neutral,0
c_158766714664148944,a2RQQ8d,negative,-1
c_158766717469229969,amvqq0y,negative,-1
c_158766721818261210,a0RmAKX,neutral,0
c_158766722471806920,ao5BbNX,negative,-1
c_158766722486554443,amvqq0y,positive,1
c_158766728825905946,amvqq0y,neutral,0
c_158766731993724113,aZ799X3,neutral,0
c_158766739918591206,ao5BbNX,positive,1
c_158766741498805502,amvqq0y,positive,1
c_158766742388128023,azm77Gp,neutral,0
c_158766744048959948,azm77Gp,neutral,0
c_158766744135932331,ao5BbNX,negative,-1
c_158766745243213995,aWxBBvq,neutral,0
c_158766745967407112,agArryv,positive,1
c_158766754683665865,azm77Gp,neutral,0
c_158766756755488304,ae5XXZq,negative,-1
c_158766757232919961,amvqq0y,negative,-1
c_158766757754559197,ayoyg4V,neutral,0
c_158766768212935961,aZ799X3,neutral,0
c_158766771374013748,amvqq0y,negative,-1
c_158766771993009066,amvqq0y,positive,1
c_158766791419348206,aV0GGOP,positive,1
c_158766792230088834,amvqq0y,neutral,0
c_158766794089664103,amvqq0y,neutral,0
c_158766797549597551,agArryv,neutral,0
c_158766801287103584,amvqq0y,neutral,0
c_158766815291423508,amvqq0y,negative,-1
c_158766819197278610,agArryv,neutral,0
c_158766820100149116,amvqq0y,neutral,0
c_158766830927676585,a0RmmjZ,negative,-1
c_158766833202299562,agArryv,positive,1
c_158766838220733299,am5DjQj,neutral,0
c_158766838708167083,azm77Gp,neutral,0
c_158766841573839134,agArryv,neutral,0
c_158766842133762752,am5DjQj,positive,1
c_158766844753154825,a0RmAKX,neutral,0
c_158766846205034527,amvqq0y,negative,-1
c_158766859525906571,am5DjQj,negative,-1
c_158766860089441939,agArryv,negative,-1
c_158766860672578637,a2RQQdD,positive,1
c_158766862030545661,agArryv,neutral,0
c_158766862950378470,azm77Gp,negative,-1
c_158766875964349472,ao5BrKX,positive,1
c_158766877843838830,am5DjQj,neutral,0
c_158766882748791418,aV0GGOP,positive,1
c_158766886278994469,aWxBBvq,neutral,0
c_158766896453458143,amvqqbX,positive,1
c_158766898024574739,am5DjQj,neutral,0
c_158766898177818992,amvqq0y,negative,-1
c_158766899162158152,agArryv,positive,1
c_158766901279061203,am5DjQj,negative,-1
c_158766904901964951,agArrZK,neutral,0
c_158766906019672184,amvqq0y,neutral,0
c_158766909373182677,ae5XovO,negative,-1
c_158766912663312155,amvqq0y,neutral,0
c_158766913382411699,agArrZK,neutral,0
c_158766920140127330,agArryv,neutral,0
c_158766920937044196,amvqq0y,neutral,0
c_158766928251098773,a1R4z4D,neutral,0
c_158766932649533205,am5DjQj,neutral,0
c_158766942185172313,aP766Vg,neutral,0
c_158766943830875590,aZ799X3,neutral,0
c_158766944738854967,amvqq0y,positive,1
c_158766946730782509,aroP6B5,neutral,0
c_158766950540263778,agArrZK,negative,-1
c_158766951224073871,am5DjQj,neutral,0
c_158766952178034380,ayeEEz8,neutral,0
c_158766952867418180,agArryv,positive,1
c_158766956528219602,aroP6B5,neutral,0
c_158766957167899472,aZ799X3,positive,1
c_158766967051429944,aP766Vg,neutral,0
c_158766969169292489,amvqqbX,negative,-1
c_158766969312925082,agArrZK,negative,-1
c_158766976538249307,a0RmAKX,neutral,0
c_158766980196023384,agArrZK,negative,-1
c_158766985178255517,aP766Vg,neutral,0
c_158766985790945271,aZ799X3,neutral,0
c_158766988290478295,agArryv,neutral,0
c_158766990006421398,amvqq0y,neutral,0
c_158766991872199338,a3wvvA3,negative,-1
c_158766992830794221,aZ799X3,negative,-1
c_158766993622473474,aZ799X3,positive,1
c_158766993889094232,ae5XovO,neutral,0
c_158767008323548560,amvqq0y,negative,-1
c_158767011745736261,aroP6B5,negative,-1
c_158767012120594142,ae5XXZq,neutral,0
c_158767015130128835,amvqq0y,neutral,0
c_158767016026477222,agArryv,positive,1
c_158767017994101131,amvqqbX,positive,1
c_158767025648793268,agArrZK,negative,-1
c_158767027959834718,a9njjoL,negative,-1
c_158767030779193045,aZ799X3,negative,-1
c_158767033388299000,agArrZK,neutral,0
c_158767042880979955,a85rrZe,neutral,0
c_158767046587285658,aroPPN5,positive,1
c_158767049551271653,agArryv,neutral,0
c_158767050863121749,a85rP0p,negative,-1
c_158767053426008603,am5DjQj,negative,-1
c_158767053515511561,ao5BbNX,negative,-1
c_158767054645278669,a85rrZe,negative,-1
c_158767060583523670,am5DjQj,negative,-1
c_158767065752838090,a2RQQdD,neutral,0
c_158767066595916706,agArrZK,positive,1
c_158767067117442361,a0RmAKX,negative,-1
c_158767083340222905,a9njjoL,neutral,0
c_158767083670336397,ae5XXZq,negative,-1
c_158767083865424492,aZ799X3,negative,-1
c_158767088111225598,aLw66qW,positive,1
c_158767090058408971,aV0GGOP,negative,-1
c_158767091115791480,aj9QQ2G,neutral,0
c_158767092568057824,aj9QQ2G,neutral,0
c_158767092852289554,azm77Gp,neutral,0
c_158767101123337994,agArryv,positive,1
c_158767102444614506,aj9QQ2G,neutral,0
c_158767104943713404,aLw66qW,neutral,0
c_158767107261149914,ayoyg4V,positive,1
c_158767107930758933,ae5XXZq,positive,1
c_158767113029173607,aj9QQ2G,neutral,0
c_158767123087283150,amvqq0y,neutral,0
c_158767124123597837,azm77Gp,positive,1
c_158767124913509873,aj9QQ2G,neutral,0
c_158767126938494346,amvqq0y,positive,1
c_158767128550719230,aLw66qW,positive,1
c_158767131816118631,ae5XXZq,positive,1
c_158767132229825258,aj9QQ2G,positive,1
c_158767136882979728,a3wvvA3,neutral,0
c_158767141307742353,aV0GGOP,neutral,0
c_158767149471346716,aV0GGOP,negative,-1
c_158767151156681649,a3wvvA3,negative,-1
c_158767155477602690,ao5BbNX,negative,-1
c_158767159619109685,am5DjQj,neutral,0
c_158767160965169520,aZyqbbX,positive,1
c_158767161147014233,aZ799X3,neutral,0
c_158767168715244437,aroP6B5,negative,-1
c_158767188001764584,ao5BrKX,negative,-1
c_158767191881462324,aV0GGOP,positive,1
c_158767193233408112,aLw66qW,neutral,0
c_158767195965714142,azm77Gp,neutral,0
c_158767201130279309,amvqq0y,neutral,0
c_158767203843821167,a3wvvA3,neutral,0
c_158767208156241207,amvqq0y,positive,1
c_158767211001138235,a9njjoL,neutral,0
c_158767214173229386,a2RQQdD,negative,-1
c_158767220552188780,aj9QQ2G,neutral,0
c_158767222209658749,aLw66qW,neutral,0
c_158767222867644690,aroP6B5,neutral,0
c_158767231851312220,ae5XXZq,neutral,0
c_158767236762282835,aLw66qW,positive,1
c_158767239287282195,aZyqbbX,neutral,0
c_158767240000485676,amvqqbX,negative,-1
c_158767244119081184,aZyqbbX,negative,-1
c_158767244891666232,azm77Gp,neutral,0
c_158767245417655303,aV0GGOP,neutral,0
c_158767246821386855,amvqqbX,negative,-1
c_158767247140751157,aZ799X3,neutral,0
c_158767249526505320,agArrZK,neutral,0
c_158767249677925335,amvqqbX,neutral,0
c_158767250339741267,agArryv,neutral,0
c_158767256954603457,aZ799X3,negative,-1
c_158767268039146790,ayeEEz8,neutral,0
c_158767268615259450,azm77Gp,positive,1
c_158767271519244213,ao5BrKX,neutral,0
c_158767273849536145,a85rrZe,neutral,0
c_158767274168617693,aLw66qW,neutral,0
c_158767274493015386,aLw66qW,negative,-1
c_158767280179919742,a0RmmjZ,negative,-1
c_158767281515927098,aWxBBvq,positive,1
c_158767284800531512,aV0GGOP,negative,-1
c_158767285058876939,amvqqbX,negative,-1
c_158767293190184308,aroPPN5,neutral,0
c_158767297853083950,agArryv,neutral,0
c_158767299748557993,aj9QQ2G,positive,1
c_158767299874022149,aZyqbbX,negative,-1
c_158767300491435590,aj9QQ2G,neutral,0
c_158767302946626755,azm77Gp,neutral,0
c_158767305752782490,ao5BrKX,negative,-1
c_158767306836643348,ao5BrKX,negative,-1
c_158767308170652645,am5DjQj,positive,1
c_158767315986975681,aWxBBvq,positive,1
c_158767322316143192,ayeEEz8,neutral,0
c_158767324126064940,amvqq0y,neutral,0
c_158767325763837385,amvqq0y,neutral,0
c_158767325941572250,aWxBBvq,negative,-1
c_158767325992609788,amvqq0y,positive,1
c_158767328240476970,am5DjQj,positive,1
c_158767335431043317,ayeEEz8,neutral,0
c_158767336054957999,a3wvPEe,positive,1
c_158767339438351335,aroP6B5,negative,-1
c_158767344091864306,agArryv,neutral,0
c_158767345527686905,ayeEEz8,neutral,0
c_158767347554131734,ae5XXZq,positive,1
c_158767351773058716,aP766Vg,negative,-1
c_158767355384892897,a85rrZe,negative,-1
c_158767362677937142,aLw66qW,positive,1
c_158767367521563443,a3wvvA3,negative,-1
c_158767372775256985,a85rrZe,positive,1
c_158767377136887980,ao5BbNX,neutral,0
c_158767378436523270,a3wvPEe,positive,1
c_158767379669875256,ayeEEz8,positive,1
